id,codigo,codigo_alterno,marca,aplicacion,linea,familia,aux1,aux2,aux3,stock,precio,precio_iva,precio_22,precio_24,precio_almacen,ganancia1,precio_taller,ganancia2,date_created,date_updated
1,96534660,HF 51,Yes Quality,"Chevrolet Aveo Emo. Active, 1.4,1.6, Sail 19 (V)",Discos,Frenos,"D256mm, d59.4mm, A41mm, E24mm, 4H",DEL,V/D,0,17.95,20.10,14.00,15.68,20.51,4.92,21.71,6.51,5/1/23,
2,91277966,HF - 23B,Yes Quality,"Chevrolet Corsa Evolution 1.4 , 8V Evolution (V)",Discos,Frenos,"D240mm, d60mm, A41mm, E20mm, 4H",DEL,V/D,0,16.94,18.97,13.21,14.80,19.35,4.64,20.49,6.15,5/1/23,
3,569000,HF - 20A,Yes Quality,Chevrolet Corsa Evolution 1.8 (V),Discos,Frenos,"D260mm, d60mm, A41mm, E24mm, 4H",DEL,V/D,0,15.92,17.83,12.42,13.91,18.19,4.36,19.26,5.78,5/1/23,
4,8973606760,HF - 54,Yes Quality,Chevrolet D-max 4x2 2.4 3.2 - BD.6039 (V),Discos,Frenos,"D257mm, d88.22mm, A41mm, E26mm, 6H",DEL,V/D,0,22.78,25.51,17.77,19.90,26.02,6.25,27.55,8.27,5/1/23,
5,BD3970,HF - 21E,Yes Quality,"Chevrolet D-max 4x4 300MM 12-16, Trailblazer 12> (V)",Discos,Frenos,"D300mm, d88mm, A45mm, E27.2mm, 6H",DEL,V/D,0,26.66,29.86,20.79,23.29,30.46,7.31,32.25,9.67,5/1/23,
6,HF-302,5521165D12,Yes Quality,Chevrolet Gran Vitara 5P XL7 (5521165D11) (V),Discos,Frenos,"D310mm, d108mm, A29mm, E22mm, 5H",DEL,V/D,0,21.8,24.42,17.00,19.04,24.90,5.98,26.37,7.91,5/1/23,
7,569801,HF - 28A,Yes Quality,"Chevrolet Luv 2.2, 2.3, Troop, Rodeo 2.6 (V)",Discos,Frenos,"D257mm, d88mm, A36mm, E22mm, 6H",DEL,V/D,0,18.72,20.97,14.60,16.35,21.39,5.13,22.64,6.79,5/1/23,
8,HF-26E,,Yes Quality,Chevrolet N200 N300/ Mini Van/ Wuling Sgmw 13 ,Discos,Frenos,,,,0,16.09,18.02,12.55,14.06,18.38,4.41,19.46,5.84,5/1/23,
9,BD.6028,HF - 52A,Yes Quality,Chevrolet Optra Posterior 1.8>04 (S),Discos,Frenos,"D258mm, D60mm, A57.5mm, E10.5mm, 4H",POST,V/D,0,18.89,21.16,14.73,16.50,21.58,5.18,22.85,6.85,5/1/23,
10,9056028,HF - 20C,Yes Quality,Chevrolet Sail 1.4 03< 96574633 - BD.4633 (V),Discos,Frenos,"D235mm, d59mm, A41mm, E19.80mm, 4H",DEL,V/D,0,14.92,16.71,11.64,13.03,17.04,4.09,18.05,5.41,5/1/23,
11,90870685,HF-20E,Yes Quality,Chevrolet Sail 1.5 17> (V),Discos,Frenos,"D256mm, d59mm, A41mm, E22mm, 4H",DEL,V/D,0,16.8,18.82,13.10,14.68,19.19,4.61,20.32,6.10,5/1/23,
12,5531161G00,HF - 307,Yes Quality,Chevrolet Steem 1.6 96-02  (V),Discos,Frenos,"D235mm, d60mm, A49.5mm, E20mm, 4H",DEL,V/D,0,15.82,17.72,12.34,13.82,18.07,4.34,19.14,5.74,5/1/23,
13,HF-304,,Yes Quality,"Chevrolet Suzuki  Forza I, Super Carry (S) ",Discos,Frenos,,,,0,13.54,15.16,10.56,11.83,15.47,3.71,16.38,4.91,5/1/23,
14,55311-60B22,,Yes Quality,Chevrolet Suzuki  Forza II (S),Discos,Frenos,,,,0,16.76,18.77,13.07,14.64,19.15,4.60,20.27,6.08,5/1/23,
15,BD.6041,HF - 302C,Yes Quality,Chevrolet Suzuki S-Cross (V),Discos,Frenos,"D280mm, d62mm, A47mm, E22mm, 5H",DEL,V/D,0,16.63,18.63,12.97,14.53,19.00,4.56,20.12,6.03,5/1/23,
16,30012150,HF - 21B,Yes Quality,Chevrolet Suzuki Vitara 5P 91-99 (V),Discos,Frenos,"D287mm, d107mm, A46mm, E17mm, 5H",DEL,V/D,0,18.15,20.33,14.16,15.86,20.73,4.98,21.95,6.59,5/1/23,
17,BD1553,HF - 308A,Yes Quality,Chevrolet Tracker 1.4-1.8 14-19 (V),Discos,Frenos,"D300mm, d60mm, A46mm, E26mm, 5H",DEL,V/D,0,29.25,32.76,22.82,25.55,33.42,8.02,35.38,10.61,5/1/23,
18,HF-28E,8970340343,Yes Quality,"Chevrolet Trooper Rodeo 3.2 V6, 98-03, (V)",Discos,Frenos,"D280mm, d88mm, A36mm, E26mm, 6H",DEL,V/D,0,29.63,33.19,23.11,25.88,33.85,8.12,35.84,10.75,5/1/23,
19,96058796,HF - 21C,Yes Quality,Chevrolet Vitara 3P 91-04 (S),Discos,Frenos,"D289mm, d107mm, A45.7mm, E10mm, 5H",DEL,S/D,0,19.2,21.50,14.98,16.77,21.93,5.26,23.22,6.97,5/1/23,
20,HF-31,5961814,Yes Quality,"Fiat Uno , Premio, Fiorino 86-94 (S)",Discos,Frenos,"D240mm, d59mm, A46.50mm, E12mm, 4H",DEL,S/D,0,13.58,15.21,10.59,11.86,15.51,3.72,16.43,4.93,5/1/23,
21,HF-18J,CN151125CA,Yes Quality,"Ford Ecosport 2.0 12>, 1.6 12>, 1.5 18 (V)",Discos,Frenos,"D278mm, d63mm, A40mm, E25mm,4H",DEL,V/D,0,19.78,22.15,15.43,17.28,22.60,5.42,23.93,7.18,5/1/23,
22,BD.3937,,Yes Quality,Ford Escape (V),Discos,Frenos,"D300mm, d60mm, A48mm, E27mm, 5H",DEL,V/D,0,27.27,30.54,21.27,23.82,31.15,7.48,32.99,9.90,5/1/23,
23,HF-355,DA0133251,Yes Quality,"Ford Festiva,Kia pride 1.1 1.3 16v 91-01 (S)",Discos,Frenos,"D219mm, d75mm, A37mm, E13mm, 4H",DEL,S/D,0,14.52,16.26,11.33,12.68,16.59,3.98,17.56,5.27,5/1/23,
24,51712-21350,HF - 102,Yes Quality,"Hyundai Accent 1.3-1.5 94-00,  Excel, Pony (V)",Discos,Frenos,"D242mm, d86mm, A40.50mm, E19mm, 4H",DEL,V/D,0,16.43,18.40,12.82,14.35,18.77,4.50,19.87,5.96,5/1/23,
25,HF-325L,51712-1R000,Yes Quality,"Hyundai Accent 1.6 >2012,Kia Rio III 1.4 (V)",Discos,Frenos,"D256mm, d62mm, A44mm, E22mm,4H",DEL,V/D,0,20.42,22.87,15.93,17.84,23.33,5.60,24.70,7.41,5/1/23,
26,51712-25060.,HF - 102A,Yes Quality,Hyundai Accent Verna 00-06 (V),Discos,Frenos,"D241mm, d63.50mm, A51.50mm, E19mm, 4H",DEL,V/D,0,18.38,20.59,14.34,16.06,21.00,5.04,22.23,6.67,5/1/23,
27,BR06-101,51712-02550,Yes Quality,Hyundai Atos Prime 01> (BD.0550) (V),Discos,Frenos,"D235mm, d63.5mm, A51mm, E18mm, 4H",DEL,V/D,0,14.68,16.44,11.45,12.82,16.77,4.02,17.76,5.33,5/1/23,
28,HF-100,,Yes Quality,"Hyundai H100 , H150 Gas (V)",Discos,Frenos,,,,0,15.66,17.54,12.21,13.68,17.89,4.29,18.94,5.68,5/1/23,
29,51712-1G000,HF - 360,Yes Quality,"Hyundai New Accent 06>,Kia Rio Xcite (V)",Discos,Frenos,"D256mm, d62.30mm, A46.70mm, E22mm, 4H",DEL,V/D,0,19.4,21.73,15.13,16.95,22.16,5.32,23.47,7.04,5/1/23,
30,BD0578,,Yes Quality,"Hyundai Tucs. 16, Sona. Hyb. 16,Kia Spor. Gt Line",Discos,Frenos,"D305mm, d68mm, A50mm, E25mm, 5H",DEL,V/D,0,25.45,28.50,19.85,22.23,29.07,6.98,30.78,9.24,5/1/23,
31,58411-1H300,,Yes Quality,"Hyundai Tucson IX 2.0 16v 11>, Post. (S)",Discos,Frenos,"D262mm, d76mm, A61mm, E10mm, 5H",POST,V/D,0,18.48,20.70,14.41,16.14,21.11,5.07,22.35,6.71,5/1/23,
32,HF-358A,51712-2D300,Yes Quality,"Kia Cerato 1.6,Hyundai Sonata 2.7, Elantra 2.0 (V)",Discos,Frenos,"D258mm, d69mm, A47mm, E25mm, 4H",DEL,V/D,0,18.69,20.93,14.58,16.33,21.35,5.12,22.61,6.78,5/1/23,
33,51712-FD200-,HF-360B,Yes Quality,Kia Rio Stylus (V),Discos,Frenos,"D235mm, d55mm, A50mm, E22mm, 4H",DEL,V/D,0,16.61,18.60,12.96,14.51,18.98,4.55,20.09,6.03,5/1/23,
34,HF-860,B00133251,Yes Quality,Mazda 323 1.3 84-89 (S),Discos,Frenos,"D227mm, d75mm, A31mm, E11mm, 4H",DEL,S/D,0,12.28,13.75,9.58,10.73,14.03,3.37,14.85,4.46,5/1/23,
35,HF-860A,3395510,Yes Quality,Mazda 626 91-97  (V),Discos,Frenos,"D258mm, d72mm, A48.5mm, E24mm, 4H",DEL,V/D,0,15.31,17.15,11.94,13.37,17.49,4.20,18.52,5.56,5/1/23,
36,HF-16T,,Yes Quality,Mazda BT-50 4x2 4x4 07<B2.6 Ford Ranger 07-12(V),Discos,Frenos,"D289mm, d98mm, A70mm, E28mm, 6H",DEL,V/D,0,28.68,32.12,22.37,25.05,32.76,7.86,34.69,10.41,5/1/23,
37,BD.7336,,Yes Quality,Mazda CX5 (V),Discos,Frenos,"D295mm, d66mm, A53mm, E30mm, 5H",DEL,V/D,0,26.37,29.53,20.57,23.04,30.13,7.23,31.90,9.57,5/1/23,
38,UB39-33-251.,HF - 351,Yes Quality,"Mazda E2.0 ,B2.2 ,B2.6 87-94, Besta (V)",Discos,Frenos,"D256mm, d86mm, A20.5mm, E20mm, 6H",DEL,V/D,0,15.12,16.93,11.79,13.21,17.27,4.15,18.29,5.49,5/1/23,
39,HF-200,MB407031,Yes Quality,Mits L200 4X2 89> (V),Discos,Frenos,"D258.50mm, d84mm, A38.50mm, E22mm, 6H",DEL,V/D,0,15.87,17.77,12.38,13.86,18.13,4.35,19.20,5.76,5/1/23,
40,HF-210B,MB699982,Yes Quality,"Mits Lancer 1.6 96-99, Galant 2.0 Mir (V)",Discos,Frenos,"D236mm, d64mm, A45mm, E18mm, 4H",DEL,V/D,0,14.84,16.62,11.58,12.96,16.95,4.07,17.95,5.39,5/1/23,
41,BD4648,HF - 208A,Yes Quality,Mitsubishi Outlander 2.3 Lancer ASX (S-P),Discos,Frenos,"D302mm, d80mm, A60mm, E10mm, 5H",POST,S/D,0,24.2,27.10,18.88,21.14,27.65,6.64,29.27,8.78,5/1/23,
42,HF-600B,40206JR70B,Yes Quality,"Nissan Front 2.5 07-16,LE/SE/SEL 2.3 17> (V)",Discos,Frenos,"D296mm, d68mm, A53mm, E28mm, 6H",DEL,V/D,0,27.62,30.93,21.54,24.13,31.55,7.57,33.41,10.02,5/1/23,
43,4020625400,HF-617,Yes Quality,"Nissan Frontier 2WD 98-04, Renault (V)(E-F)",Discos,Frenos,"D260mm, d92mm, A40mm , E26mm, 6H",DEL,V/D,0,22.66,25.38,17.67,19.80,25.89,6.21,27.41,8.22,5/1/23,
44,HF-618B,40206EA00A,Yes Quality,"Nissan Frontier 4X4 02-08,2.5 07-16 (V)",Discos,Frenos,"D296mm, d68mm, A38.5mm , E28mm, 6H",DEL,V/D,0,23.55,26.38,18.37,20.57,26.90,6.46,28.49,8.55,5/1/23,
45,HF-615,40206ET00A,Yes Quality,"Nissan Sentra 1.8 16V 2.0 16V 07>, Versa (V)",Discos,Frenos,"D279mm, d68mm, A44.20mm, E24mm, 4H",DEL,V/D,0,21.9,24.53,17.08,19.13,25.02,6.00,26.49,7.95,5/1/23,
46,BD.5800,HF-609,Yes Quality,Nissan Sentra B13 1.6 91-95 (V),Discos,Frenos,"D239.5mm, d61mm, A45.50mm, E18mm, 4H",DEL,V/D,0,14.36,16.08,11.20,12.54,16.40,3.94,17.37,5.21,5/1/23,
47,40206EE51A,HF - 613,Yes Quality,Nissan Tiida 1.6-1.8 2008> (V),Discos,Frenos,"D260mm, d68mm, A44mm, E22mm, 4H",DEL,V/D,0,16.89,18.92,13.17,14.76,19.30,4.63,20.43,6.13,5/1/23,
48,HF-619,,Yes Quality,"Nissan X-Trail 2.5 02-07,Primera 1.6-1.8-2.0 (V)",Discos,Frenos,,,,0,34.67,38.83,27.04,30.29,39.61,9.51,41.94,12.58,5/1/23,
49,4246R8,HF - 298,Yes Quality,"Peugeot 206 1.4 (c/ABS)>1998, Lifan 520 (S)",Discos,Frenos,"D247mm, d66mm, A34mm, E13mm, 4H",DEL,S/D,0,15.52,17.38,12.11,13.56,17.73,4.26,18.77,5.63,5/1/23,
50,7700780892,HF-549,Yes Quality,"Renault Megan 2.0, Logan 1.6  (V)",Discos,Frenos,"D259mm, d61mm, A41mm, E20.60mm, 4H",DEL,V/D,0,16.93,18.96,13.21,14.79,19.34,4.64,20.48,6.14,5/1/23,
