,sale_year,sale_quarter,bldg_type,sale_price,sale_price,sale_price,ppsf
,,,,count,mean,sum,mean
0,2000,2,condo,1,480000.0,480000,898.88
1,2002,1,condo,1,1700000.0,1700000,1715.44
2,2003,1,condo,1943,582143.8898610396,1131105578,553.8252296450939
3,2003,2,condo,1412,896349.6919263456,1265645765,730.4850144300144
4,2003,3,condo,1654,831118.0108827086,1374669190,716.8094478527606
5,2003,4,condo,1556,845648.1754498715,1315828561,731.0887352555701
6,2004,1,condo,1419,1075594.455954898,1526268533,832.8425250357654
7,2004,2,condo,2013,1062724.998012916,2139265421,839.8639320142061
8,2004,3,condo,1711,1079693.2571595558,1847355163,867.3541676718938
9,2004,4,condo,1619,1089282.5460160594,1763548442,869.0661383647798
10,2005,1,condo,1570,1314798.717834395,2064233987,945.195074241446
11,2005,2,condo,1939,1331051.176379577,2580908231,1006.585584075432
12,2005,3,condo,1787,1323459.8718522664,2365022791,1036.2129856733525
13,2005,4,condo,1378,1267994.3004354136,1747296146,1031.3276257396449
14,2006,1,condo,1776,1289616.6683558559,2290359203,1002.8458880639633
15,2006,2,condo,2213,1217789.2977858111,2694967716,1045.0351948647408
16,2006,3,condo,2072,1230299.9604247105,2549181518,1082.6149335956716
17,2006,4,condo,1941,1269352.6476043276,2463813489,1099.4440010432968
18,2007,1,condo,2285,1337267.0757111597,3055655268,1098.2205412599824
19,2007,2,condo,2816,1446325.3334517046,4072852139,1162.8317015140592
20,2007,3,condo,2657,1563290.541211893,4153662968,1207.422274450341
21,2007,4,condo,1986,1775451.655589124,3526046988,1276.856277187658
22,2008,1,condo,2272,1937377.6056338027,4401721920,1338.408389380531
23,2008,2,condo,2515,1817950.9769383697,4572146707,1309.6088982371796
24,2008,3,condo,2509,1540155.325229175,3864249711,1190.7132345876703
25,2008,4,condo,1736,1677199.8513824884,2911618942,1242.4562977983776
26,2009,1,condo,959,1832090.0010427528,1756974311,1248.4824105263158
27,2009,2,condo,1044,1593944.679118774,1664078245,1162.1290637065638
28,2009,3,condo,1531,1601060.5114304377,2451223643,1144.1856785243742
29,2009,4,condo,1654,1654006.3168077387,2735726448,1146.7705227963527
30,2010,1,condo,1447,1610164.392536282,2329907876,1130.9161415025528
31,2010,2,condo,1798,1596655.8142380423,2870787154,1131.5689494382023
32,2010,3,condo,1574,1623189.960609911,2554900998,1152.1093358876117
33,2010,4,condo,1309,1730013.449961803,2264587606,1184.5126585179528
34,2011,1,condo,1223,1706300.7898609976,2086805866,1190.8451821192052
35,2011,2,condo,1773,1572409.2047377327,2787881520,1161.0200739056281
36,2011,3,condo,1579,1668867.1975934135,2635141305,1201.242490396927
37,2011,4,condo,1171,1699111.9649871904,1989660111,1215.604586919105
38,2012,1,condo,1255,1765436.6932270916,2215623050,1228.220685483871
39,2012,2,condo,1657,1758720.6644538322,2914200141,1221.9013024954352
40,2012,3,condo,1593,1643074.326428123,2617417402,1221.3348129359542
41,2012,4,condo,1612,1830869.7698511167,2951362069,1282.9831549118387
42,2013,1,condo,1241,1726652.0016116037,2142775134,1254.6268545751634
43,2013,2,condo,1910,1769522.9905759161,3379788912,1307.6662068965516
44,2013,3,condo,2005,1778273.575062344,3565438518,1365.235655487805
45,2013,4,condo,1692,2146081.260047281,3631169492,1467.2934647550776
46,2014,1,condo,1425,2257077.1157894735,3216334890,1531.0474209770114
47,2014,2,condo,1692,2149932.4604018913,3637685723,1513.9184833836857
48,2014,3,condo,1794,2106591.857859532,3779225793,1536.8254280821918
49,2014,4,condo,1532,2476377.231070496,3793809918,1623.80630800269
50,2015,1,condo,1355,2474806.9033210333,3353363354,1655.2996115765425
51,2015,2,condo,1670,2351580.61257485,3927139623,1625.4699689826302
52,2015,3,condo,1904,2281711.469012605,4344378637,1626.5263394793926
53,2015,4,condo,1843,2501520.9256646773,4610303066,1706.5392730299668
54,2016,1,condo,1652,2871430.289951574,4743602839,1799.204587212911
55,2016,2,condo,1770,2728927.4491525423,4830201585,1762.4332103746399
56,2016,3,condo,1638,2938923.0866910866,4813956016,1788.2435781544257
57,2016,4,condo,1435,2879924.188850174,4132691211,1799.873895184136
58,2017,1,condo,1540,3050101.1324675325,4697155744,1797.8097486772485
59,2017,2,condo,1754,2931372.1031927024,5141626669,1806.7640747227085
60,2017,3,condo,1690,2572550.629585799,4347610564,1758.930091296409
61,2017,4,condo,1435,2664518.7853658535,3823584457,1732.0795785714288
62,2018,1,condo,1192,2593431.53942953,3091370395,1711.029794344473
63,2018,2,condo,1419,2808154.7914023963,3984771649,1753.275847152127
64,2018,3,condo,1437,2566449.2136395266,3687987520,1696.0826776740846
65,2018,4,condo,1189,3018716.1227922626,3589253470,1769.7662988705474
66,2019,1,condo,1009,3202424.2031714567,3231246021,1803.691105527638
67,2019,2,condo,1776,3300443.044481982,5861586847,1910.1382054176072
68,2019,3,condo,1203,2431133.5303408145,2924653637,1700.6319816053513
69,2019,4,condo,1140,2747470.918421053,3132116847,1722.9889973380657
70,2020,1,condo,1042,2629664.593090211,2740110506,1686.173485436893
71,2020,2,condo,699,2560434.9957081545,1789744062,1656.305851216023
72,2020,3,condo,666,3345135.5885885884,2227860302,1774.403027108434
73,2020,4,condo,979,2571286.3544433094,2517289341,1610.5917195496418
74,2021,1,condo,1226,2277263.35725938,2791924876,1526.3296302382907
75,2021,2,condo,2101,2638286.0371251786,5543038964,1651.2466714697405
76,2021,3,condo,2257,2629993.766947275,5935895932,1677.4316464782414
77,2021,4,condo,1979,2698729.2016169783,5340785090,1723.6165557830093
78,2022,1,condo,1827,2717752.9950738917,4965334722,1745.9247949002217
79,2022,2,condo,1933,2891447.3041903777,5589167639,1798.3061852433282
80,2022,3,condo,1754,2732833.4794754847,4793389923,1772.0462901307967
81,2022,4,condo,1340,2678882.0902985074,3589702001,1787.1226045777425
82,2023,1,condo,1062,2941117.937853107,3123467250,1799.3576953907816
83,2023,2,condo,1433,3032017.2226099093,4344880680,1810.428511422255
84,2023,3,condo,1298,2620528.8983050846,3401446510,1746.2470809943864
85,2023,4,condo,6,2278333.3333333335,13670000,1849.5416666666667
